EP Site ID,Latitude,Longitude
PH-NCR-01516,14.64444,121.10844
PH-RIZ-01892,14.47481,121.21397
PH-NCR-01652,14.60817,121.01018
PH-RIZ-01887,14.48054,121.31427
PH-RIZ-01832,14.54549,121.38157
PH-RIZ-01828,14.54758,121.12282
PH-RIZ-01799,14.57073,121.15299
PH-RIZ-02187,14.73645,121.17279
PH-RIZ-02548,14.55363,121.28664
PH-RIZ-01250,14.73731,121.15845
PH-NCR-01517,14.644438,121.003029
PH-RIZ-01572,14.62782,121.23482
PH-NCR-01607,14.61858,120.98878
PH-RIZ-01720,14.5922,121.15164
PH-RIZ-01895,14.46478,121.32423
PH-RIZ-01843,14.53845,121.14761
PH-NCR-02242,14.595795,121.017939
PH-NCR-01765,14.58114,121.0227
PH-RIZ-01733,14.58898,121.13962
PH-RIZ-01863,14.51354,121.31059
PH-NCR-02190,14.58888,121.02747
PH-NCR-02540,14.579594,120.978009
PH-RIZ-01848,14.53136,121.22492
PH-NCR-01487,14.653532,120.98889
PH-RIZ-01855,14.52577,121.32181
PH-RIZ-01838,14.5422,121.3389
PH-NCR-01604,14.620289,121.021183
PH-NCR-02521,14.584,121.07575
PH-NCR-01791,14.574151,121.029039
PH-NCR-03228,14.428868,120.989017
PH-NCR-01299,14.715022,121.023951
PH-PAM-00897,15.071341,120.697531
PH-CAG-02270,18.05629722,121.8195417
PH-APA-00022,18.259584,121.036063
PH-APA-00027,18.221232,121.419168
PH-AUR-02176,15.71985,121.5191
PH-AUR-00740,15.385711,121.398741
PH-BEN-00301,16.581497,120.570369
PH-BUL-02399,14.97726667,120.9426333
PH-BUL-02271,14.77161667,120.8922333
PH-ISA-00167,17.167263,121.612412
PH-ILS-00128,17.46226667,120.4745667
PH-ILS-00288,16.987318,120.739325
PH-ILS-00172,17.149185,120.519468
PH-ISA-00209,16.985461,122.026503
PH-ISA-00265,16.757955,121.747883
PH-ISA-00207,16.9916,121.6425
PH-ISA-00126,17.471206,121.792936
PH-ISA-02261,17.062138,122.41979
PH-KAL-02200,17.471716,121.570775
PH-KAL-00102,17.60070983,121.42628
PH-LUN-00383,16.227263,120.431164
PH-LUN-00235,16.90522,120.47278
PH-NUE-00757,15.35078333,121.0468167
PH-NUE-00695,15.49309,121.034669
PH-ABR-02418,17.545485,120.719438
PH-NUE-00649,15.58478333,121.1846
PH-PAM-02456,15.09751667,120.7613667
PH-ZMB-00729,15.436943,119.903297
PH-LUN-00382,16.229279,120.505428
PH-BEN-00376,16.267686,120.557847
PH-ABR-00074,17.682662,120.731021
PH-AUR-00402,16.136082,121.958262
PH-MOU-02668,16.965777,121.026377
PH-PAM-00966,14.97988333,120.5841333
PH-CAG-00008,18.516249,121.309999
PH-ISA-00280,16.697246,121.628943
PH-ISA-00284,16.68639444,121.7803389
PH-ABR-00111,17.563039,120.651256
PH-MAD-02419,13.349808,121.835235
PH-BUL-00825,15.166501,121.0591333
PH-ISA-00183,17.096551,121.962855
PH-PAM-00895,15.073851,120.7549333
PH-PAN-00523,15.9359646,120.5814911
PH-TAR-00592,15.714233,120.578145
PH-PAN-00387,16.193898,120.513179
PH-ISA-00247,16.8523,121.889537
PH-PAN-00409,16.093829,120.576909
PH-TAR-00618,15.646345,120.590127
PH-ABR-00122,17.486131,120.752973
PH-BAN-01437,14.6683,120.5477167
PH-LUN-00318,16.51232,120.463271
PH-ABR-00123,17.477498,120.605561
PH-BEN-00326,16.44945,120.528761
PH-NUE-00732,15.417618,121.357763
PH-BUL-01010,14.94091667,121.00245
PH-APA-02469,17.8001,121.29821
PH-BUL-02585,14.752681,120.953964
PH-ABR-00109,17.570412,120.58834
PH-ABR-00134,17.434111,120.705031
PH-APA-02247,18.28865,121.435568
PH-ABR-00136,17.413235,120.596468
PH-ABR-00132,17.437428,120.625662
PH-ZMB-00774,15.288407,120.062539
PH-BUL-01175,14.809311,120.867219
PH-BEN-00328,16.43605,120.62925
PH-BUL-02547,14.90563333,120.9286
PH-BUL-02580,14.99601667,120.89025
PH-TAR-00699,15.488274,120.471563
PH-BUL-01050,14.90228,120.822827
PH-BUL-01180,14.803248,121.035122
PH-BUL-00847,15.141701,120.9449333
PH-BUL-01176,14.809158,120.924068
PH-BUL-01189,14.78965,120.948486
PH-BUL-01111,14.85536667,121.07025
PH-BUL-02586,14.79471667,121.0257833
PH-BUL-01211,14.76635,121.011444
PH-BUL-01031,14.925865,120.89182
PH-CAG-00059,17.84917,121.346492
PH-CAG-00001,19.26603,121.481329
PH-CAG-00004,18.61194444,121.1649028
PH-CAG-00040,18.120538,121.679966
PH-CAG-00052,17.957663,121.910601
PH-IFU-00210,16.983228,121.232733
PH-IFU-00211,16.973478,121.346103
PH-ILN-02610,17.918266,120.667729
PH-BUL-01154,14.83103333,120.8909167
PH-BUL-01217,14.76386667,120.9653667
PH-ILN-00003,18.622608,120.854026
PH-ABR-00147,17.310623,120.692685
PH-ISA-00206,16.991973,121.745989
PH-ILS-00088,17.6280778,120.3884583
PH-ILS-00157,17.233402,120.4789
PH-ILS-00152,17.27314,120.525491
PH-ILS-00148,17.308867,120.509546
PH-ILS-00164,17.179996,120.474606
PH-ILS-00131,17.439336,120.531436
PH-ILS-00176,17.130813,120.684348
PH-ILS-00156,17.234457,120.575567
PH-ILS-00208,16.98948,120.51746
PH-ILS-00202,17.005377,120.455622
